City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Emerald,AU,-23.5333,148.1667,67.33,75,3,6.85,clear sky
155,Fort Nelson,CA,58.8053,-122.7002,47.79,20,75,3.44,broken clouds
156,Caravelas,BR,-17.7125,-39.2481,78.62,78,67,5.7,broken clouds
157,Vestmannaeyjar,IS,63.4427,-20.2734,34.7,66,90,3.56,overcast clouds
158,Springdale,US,36.1867,-94.1288,55.22,39,75,24.16,broken clouds
159,Coffs Harbour,AU,-30.3,153.1333,69.76,73,100,14.97,overcast clouds
160,Ilulissat,GL,69.2167,-51.1,21.22,79,75,5.75,light shower snow
161,Garchitorena,PH,13.8804,123.6946,77.41,87,100,7.4,light rain
162,Barrow,US,71.2906,-156.7887,-2.18,78,100,3.44,overcast clouds
163,Luohe,CN,33.5717,114.0353,56.21,91,0,6.96,clear sky
164,Santiago Del Estero,AR,-27.7951,-64.2615,85.01,50,10,13.73,clear sky
165,San Juan,AR,-31.5375,-68.5364,85.59,22,0,10.38,clear sky
166,Sarakhs,IR,36.5449,61.1577,64.54,52,98,2.3,overcast clouds
167,Ararat,AM,39.8317,44.7049,44.94,75,78,1.92,broken clouds
168,Oktyabrskoye,RU,43.0645,44.7417,39.34,86,43,4.47,scattered clouds
169,Marzuq,YE,14.4,46.4667,67.87,50,84,5.99,broken clouds
170,Jinxiang,CN,27.4327,120.6062,57.97,73,0,3.71,clear sky
171,Sompeta,IN,18.9333,84.6,77.63,79,10,10.47,clear sky
172,Korla,CN,41.7597,86.1469,62.51,21,7,4.56,clear sky
173,Lavrentiya,RU,65.5833,-171.0,-4.68,85,100,6.33,overcast clouds
174,Aklavik,CA,68.2191,-135.0107,30.2,51,75,0.0,broken clouds
175,Sioux Lookout,CA,50.1001,-91.917,35.67,55,100,13.8,overcast clouds
176,Senneterre,CA,48.3835,-77.2328,36.99,97,100,9.24,light rain
177,Kodinsk,RU,58.6881,99.1844,28.29,92,95,7.9,overcast clouds
