City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Thunder Bay,CA,2022-04-05 20:34:33,48.4001,-89.3168,36.28,80,100,23.02
158,Okhotsk,RU,2022-04-05 20:36:51,59.3833,143.3,15.01,80,100,11.99
159,Laguna,US,2022-04-05 20:36:51,38.421,-121.4238,72.18,23,0,17.27
160,Clarence Town,AU,2022-04-05 20:36:52,-32.5833,151.7833,65.86,91,0,0.81
161,Talnakh,RU,2022-04-05 20:33:13,69.4865,88.3972,8.53,77,60,8.52
162,Singarayakonda,IN,2022-04-05 20:36:52,15.25,80.0333,76.8,90,71,8.52
163,Alugan,PH,2022-04-05 20:36:53,12.2188,125.4808,79.77,85,100,14.16
164,Komsomolskiy,UZ,2022-04-05 20:36:53,40.4272,71.7189,61.52,41,0,9.22
165,Port Macquarie,AU,2022-04-05 20:36:53,-31.4333,152.9167,64.89,100,75,0.0
166,Yellowknife,CA,2022-04-05 20:36:54,62.456,-114.3525,34.41,73,75,10.36
167,Husavik,IS,2022-04-05 20:36:54,66.0449,-17.3389,27.57,93,100,30.06
168,Tevaitoa,PF,2022-04-05 20:36:54,-16.7833,-151.5,83.14,75,32,21.43
169,Lebu,CL,2022-04-05 20:36:55,-37.6167,-73.65,58.48,85,69,12.01
170,Lakota,CI,2022-04-05 20:36:55,5.8528,-5.6883,78.04,87,48,5.53
171,Cabedelo,BR,2022-04-05 20:36:56,-6.9811,-34.8339,81.27,78,100,11.43
172,Mabaruma,GY,2022-04-05 20:36:56,8.2,-59.7833,80.89,69,35,6.76
173,Oyama,JP,2022-04-05 20:36:56,36.3,139.8,56.59,83,100,0.72
174,Kavieng,PG,2022-04-05 20:36:57,-2.5744,150.7967,79.63,84,100,16.15
175,Lianzhou,CN,2022-04-05 20:36:57,24.7811,112.3825,61.43,83,25,2.77
176,Xining,CN,2022-04-05 20:37:58,36.6167,101.7667,43.29,40,61,2.77
177,Padang,ID,2022-04-05 20:37:58,-0.9492,100.3543,76.23,88,98,3.62
178,Nanortalik,GL,2022-04-05 20:37:58,60.1432,-45.2371,33.71,82,68,1.07
179,Villamontes,BO,2022-04-05 20:37:59,-21.25,-63.5,82.06,62,100,2.26
180,Graham,US,2022-04-05 20:37:59,47.0529,-122.2943,53.37,65,0,12.66
181,Kungurtug,RU,2022-04-05 20:37:59,50.5994,97.5228,26.04,94,96,1.81
182,Sao Joao Da Barra,BR,2022-04-05 20:38:00,-21.6403,-41.0511,82.49,82,84,6.35
183,Touros,BR,2022-04-05 20:38:00,-5.1989,-35.4608,80.26,77,7,12.57
184,Karratha,AU,2022-04-05 20:38:01,-20.7377,116.8463,81.79,66,1,7.9
185,Kenai,US,2022-04-05 20:35:21,60.5544,-151.2583,42.03,74,0,17.27
186,Bengkulu,ID,2022-04-05 20:38:01,-3.8004,102.2655,75.69,87,100,4.14
187,Severo-Kurilsk,RU,2022-04-05 20:38:01,50.6789,156.125,36.27,73,5,3.8
188,Sao Lourenco Do Oeste,BR,2022-04-05 20:38:02,-26.3592,-52.8511,69.15,89,27,3.33
