City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,Hobyo,SO,82.49,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
292,Kudahuvadhoo,MV,83.16,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
293,Diego De Almagro,CL,81.86,clear sky,-26.3667,-70.05,hotel luna del desierto
294,Sibolga,ID,75.2,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
297,Pekan,MY,75.31,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
298,Fortuna,US,70.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
299,San Juan Tepa,MX,68.65,broken clouds,20.2167,-99.0667,"""La cabaña"""
300,Ewo,CG,79.74,scattered clouds,-0.8725,14.8206,Residence Elonda Ewo
301,Lukulu,ZM,66.36,scattered clouds,-14.3707,23.242,Ruth Guest House
302,Hambantota,LK,78.44,moderate rain,6.1241,81.1185,Bungalow 63
303,Porto Novo,BJ,82.63,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
304,Meadow Lake,US,66.87,clear sky,34.8014,-106.5436,TumbleWeed RV Park
306,Punta Alta,AR,68.81,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
307,Port Macquarie,AU,67.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
308,Marolambo,MG,71.13,light rain,-20.05,48.1167,local guide suport centre
310,Kourou,GF,77.05,light rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
311,Flinders,AU,65.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
314,Chimoio,MZ,73.26,scattered clouds,-19.1164,33.4833,Predio Livraria Ahmed
315,Bengkulu,ID,73.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
317,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
318,Sinnamary,GF,77.05,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
320,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
325,Pires Do Rio,BR,79.81,scattered clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
326,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,Beach Rotana
327,Meghraj,IN,87.12,overcast clouds,23.5,73.5,Arvalli Society meghraj
